id,Name,Game Group,Expect Win Rate Overwrite
136,Batman: Gotham City Chronicles,Batman: Gotham City Chronicles,0.5
154,Burgle Bros 2: The Casino Capers,Burgle Bros,0.75
149,Descent: Legends of the Dark,Descent: Legends of the Dark,1
122,Dice Throne Adventures,Dice Throne,0.66
23,Exit: The Game – The Forgotten Island,Exit: The Game,1
22,Exit: The Game – The Abandoned Cabin,Exit: The Game,1
24,Flash Point: Fire Rescue,Flash Point: Fire Rescue,0.66
25,Forbidden Island,Forbidden Games,0.8
74,Forbidden Sky,Forbidden Games,0.5
26,Gloomhaven,Gloomhaven,0.8
99,Gloomhaven: Jaws of the Lion,Gloomhaven,0.8
156,Frosthaven,Gloomhaven,0.8
28,Hanabi,Hanabi,1
2,Harry Potter: Hogwarts Battle,Harry Potter: Hogwarts Battle,0.8
29,Holding On: The Troubled Life of Billy Kerr,Holding On: The Troubled Life of Billy Kerr,0.8
78,Magic Maze,Magic Maze,0.95
129,Mansions of Madness: Second Edition,Mansions of Madness,0.66
36,Mysterium,Mysterium,0.5
39,Pandemic: In the Lab,Pandemic,0.66
38,Pandemic (English edition 2013),Pandemic,0.66
69,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,0.5
138,Sleeping Gods,Sleeping Gods,1
77,Spaceteam,Spaceteam,0.66
48,Star Wars: Imperial Assault (English edition),Star Wars: Imperial Assault,0.66
131,Tiny Epic Dungeons,Tiny Epic Dungeons,0.66
